,Ecadherin,miR200,miR34,Snail,Twist1,ZEB1,EpCAM,THY1,MYC,cosineSim1,cosineSim2,Diff,Diff_pheno,weight,rEMTscore,chemo_rEMTscore,att_stability,F_major_att,major_att_size
"[('AKT', 1), ('miR34', 0)]",0.5759153643365439,0.2879576821682719,0.0,0.424084635663456,0.8534038630528801,0.7068077261057601,0.7120423178317281,0.7120423178317281,1.0,0.4022952725078442,0.2546427592751338,-0.1308923617692162,0.0,0.4345538191153918,0.174818947080351,0.1106559835530908,0.0581465389067527,-22.428571428571427,0.9895308165480642
"[('AKT', 1), ('IKK', 0)]",1.0,0.2880594098104357,0.5761188196208715,0.0,0.8532343169826069,0.706468633965214,0.7119405901895641,0.7119405901895641,0.8477623607582567,0.6158511698780966,0.5145963252091341,0.293531366034786,0.0,0.646765683017393,0.3983114025232677,0.3328232437521261,0.0602952655579514,-21.285714285714285,0.9890560875512996
"[('AKT', 1), ('MEK', 0)]",1.0,0.5,1.0,0.0,0.5,0.3286384400019647,0.5,0.5,0.3286384400019647,0.8364361678171011,0.8048610777485706,0.6713615599980353,-1.0,0.8356807799990176,0.6989936291407842,0.6726069332437754,1.2812974344138612,-23.0,0.4514403949113414
"[('AKT', 1), ('AP1', 0)]",1.0,0.2880726251014914,0.5761452502029828,0.0,0.8532122914975143,0.7064245829950287,0.5706424582995029,0.7119273748985087,0.8477094995940344,0.5945392704653222,0.5256207813709083,0.2935754170049712,0.0,0.6467877085024856,0.3845406923590052,0.3399650607241757,0.0605728559992423,-19.857142857142858,0.9889944161930402
"[('AKT', 1), ('bcatenin', 0)]",1.0,0.4330789804908748,0.8661579609817496,0.0,0.6338420390182504,0.1338420390182504,0.5669210195091252,0.5669210195091252,0.1338420390182504,0.824894386106509,0.7641019765846562,0.8661579609817496,-1.0,0.9330789804908748,0.7696916128009075,0.7129674933026733,0.5809417411956712,-41.0,0.732315921963499
"[('AKT', 1), ('TGFb', 0)]",1.0,0.2880349262607158,0.5760698525214317,0.0,0.8532751228988068,0.7065502457976137,0.7119650737392842,0.7119650737392842,0.8478602949571363,0.615814813243597,0.5145554523902812,0.2934497542023863,0.0,0.6467248771011931,0.3982627594120594,0.3327758117088534,0.0597800525641839,-21.285714285714285,0.9891703441166592
"[('AKT', 1), ('Snail', 0)]",1.0,0.2879837820857537,0.5759675641715074,0.0,0.8533603631904104,0.7067207263808211,0.7120162179142463,0.7120162179142463,0.8480648716569852,0.6157388696773067,0.5144700771706054,0.2932792736191789,0.0,0.6466396368095895,0.3981611590576808,0.3326767438510017,0.0586998670913802,-21.285714285714285,0.9894090169331494
"[('AKT', 1), ('GLI', 0)]",1.0,0.2880491239986415,0.576098247997283,0.0,0.8532514600022639,0.7065029200045282,0.7119508760013584,0.7119508760013584,0.8478035040054337,0.61583589595567,0.514579153900761,0.2934970799954718,0.0,0.646748539997736,0.3982909665875272,0.3328033164985874,0.060078966474819,-21.285714285714285,0.9891040880063394
"[('AKT', 1), ('NOTCH', 0)]",1.0,0.288055863963069,0.576111727926138,0.0,0.8532402267282183,0.7064804534564366,0.711944136036931,0.711944136036931,0.847776544147724,0.6158459044542783,0.5145904056816908,0.2935195465435634,0.0,0.6467597732717817,0.3983043575352044,0.3328163741065245,0.060220724454349,-21.285714285714285,0.9890726348390112
"[('AKT', 1), ('PI3K', 0)]",1.0,0.2880638790375671,0.5761277580751343,0.0,0.8532268682707214,0.7064537365414428,0.7119361209624329,0.7119361209624329,0.8477444838497313,0.6158578065027517,0.5146037862948312,0.2935462634585571,0.0,0.6467731317292786,0.3983202822117088,0.3328319024616524,0.060389181998358,-19.0,0.98903523115802
"[('AKT', 1), ('GSK3b', 0)]",1.0,0.2857142857142857,0.5714285714285714,0.0,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.6123724356957945,0.5106882308569511,0.2857142857142857,0.0,0.6428571428571428,0.3936679943758678,0.3282995769794685,0.0,-21.285714285714285,1.0
"[('AKT', 1), ('TGFBR', 0)]",1.0,0.2890077750006921,0.5780155500013843,0.0,0.8516537083321797,0.7033074166643595,0.7109922249993079,0.7109922249993079,0.8439688999972312,0.6172600347253471,0.5161806715957348,0.2966925833356405,0.0,0.6483462916678202,0.4001982545089287,0.3346638242596996,0.0794246178742602,-21.285714285714285,0.9846303833301032
"[('AKT', 1), ('SMAD4', 0)]",1.0,0.5,1.0,0.0,0.7328232139321986,0.4656464278643974,0.5,0.5,0.4656464278643974,0.777642380227576,0.7482867292627541,0.5343535721356025,-1.0,0.7671767860678013,0.5965891819731068,0.5740682080129866,0.2502818192548767,-21.0,0.9312928557287948
