,Ecadherin,EpCAM,MYC,Snail,THY1,Twist1,ZEB1,miR200,miR34,cosineSim1,cosineSim2,Diff,Diff_pheno,weight,rEMTscore,chemo_rEMTscore,F_major_att,att_stability,major_att_size
"[('GLI', 0)]",1.0,0.7112200578476384,0.8448802313905536,0.0,0.7040668594921281,0.8520334297460639,0.7040668594921281,0.2887799421523616,0.5775598843047232,0.7812055224452569,0.7072495756925092,0.2959331405078719,0.0,0.6479665702539359,0.5061950630422872,0.45827408187502666,-21.571428571428573,0.0749635296421236,0.9856936032889793
"[('GLI', 1)]",0.2940269792249987,0.7117919062325003,0.9883622290850017,0.7059730207750012,0.9883622290850017,0.9941811145425008,0.7059730207750012,0.2882080937674996,0.2940269792249987,0.6226429729817359,0.5309877505362812,-0.41194604155000253,0.0,0.29402697922499876,0.1830738324814923,0.15612472429566,-23.857142857142858,0.0633985931096332,0.9883622290850017
"[('GRB2SOS', 0)]",1.0,0.7113595673564191,0.8454382694256763,0.0,0.7045318911880637,0.8522659455940318,0.7045318911880637,0.2886404326435809,0.5772808652871618,0.7812647439247796,0.7072440063904902,0.2954681088119363,0.0,0.6477340544059682,0.506051780146838,0.45810602771363274,-21.571428571428573,0.07219263542905856,0.9863446476632891
"[('GRB2SOS', 1)]",1.0,0.7113528761609397,0.8454115046437585,0.0,0.7113528761609397,0.852254793601566,0.7045095872031322,0.2886471238390603,0.5772942476781207,0.7803945302163238,0.7064590753600217,0.29549041279686783,0.0,0.6477452063984339,0.5054968160471816,0.4576054795811241,-23.857142857142858,0.07232624081228248,0.986313422084385
"[('GSK3b', 0)]",1.0,0.7142857142857143,0.8571428571428571,0.0,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.7824758900557374,0.7071067811865476,0.2857142857142857,0.0,0.6428571428571428,0.5030202150358312,0.4545686450484948,-21.571428571428573,0.0,1.0
"[('GSK3b', 1)]",1.0,0.5667668477632644,0.13353369552652872,0.0,0.20030054328979308,0.6335336955265287,0.13353369552652872,0.43323315223673564,0.8664663044734713,0.5542508788868721,0.5933915742364412,0.8664663044734713,-1.0,0.9332331522367356,0.5172452948335768,0.5537726893353929,-46.0,0.5803201341295104,0.7329326089469426
"[('IKK', 0)]",1.0,0.7113266755310675,0.8453067021242704,0.0,0.7044222517702253,0.8522111258851126,0.7044222517702253,0.2886733244689324,0.5773466489378648,0.7812507936473764,0.7072453275298509,0.2955777482297747,0.0,0.6477888741148874,0.5060855720181962,0.4581456544435769,-21.571428571428573,0.07284870409954461,0.9861911524783155
"[('IKK', 1)]",1.0,0.7113252493531864,0.8453009974127452,0.0,0.7044174978439545,0.8522087489219772,0.7044174978439545,0.28867475064681364,0.5773495012936273,0.7812501885976619,0.7072453847012895,0.29558250215604553,0.0,0.6477912510780228,0.5060870370766207,0.45814737257480587,-17.0,0.07287711173227887,0.9861844969815362
"[('MDM2', 0)]",1.0,0.1604417952708131,0.0,0.0,0.0,0.5716563390093313,0.0,1.0,1.0,0.31688878232815604,0.3659116475606673,1.0,-1.0,1.0,0.31688878232815604,0.3659116475606673,-34.6,0.5940618131305315,0.8022089763540654
"[('MDM2', 1)]",0.9599505353981057,1.0,0.9284730614653889,0.04004946460189427,1.0,1.0,0.9284730614653889,0.0,0.13298108541075293,0.8018324252798434,0.7006537739613126,0.031477473932716826,0.0,0.5157387369663584,0.4135360422724984,0.36135429243351974,-27.0,1.1173755371027432,0.6674742137657739
"[('MEK', 0)]",1.0,0.5,0.3197125916406227,0.0,0.3197125916406227,0.5,0.3197125916406227,0.5,1.0,0.6118491533998502,0.6009238325104441,0.6802874083593773,-1.0,0.8401437041796886,0.5140412141365567,0.5048623745751794,-24.0,1.3025183947076908,0.4299266875018255
"[('MEK', 1)]",0.7834202428015018,0.005004350339560061,0.9899912993208798,0.21657975719849812,0.9899912993208798,0.9949956496604399,0.9899912993208798,0.005004350339560061,0.7834202428015018,0.6067383564877331,0.450063901896705,-0.20657105651937802,0.0,0.396714471740311,0.24070188657861552,0.17854686309033446,-23.0,0.8817849778965458,0.6228109616878149
"[('MYC', 0)]",1.0,0.711482262941734,0.0,0.0,0.7049408764724466,0.8524704382362233,0.7049408764724466,0.288517737058266,0.577035474116532,0.6330133865782176,0.5177041894134383,0.29505912352755337,0.0,0.6475295617637766,0.40989488080159736,0.33522876689415493,-18.142857142857142,0.0697297256911302,0.9869172270614253
