,AKT,AP1,ERK,Ecadherin,EpCAM,Fvalue,GLI,GRB2SOS,GSK3b,IKK,MDM2,MEK,MYC,NFKB,NOTCH,PI3K,RAF,RAS,SMAD23,SMAD4,Snail,TAK1,TGFBR,TGFb,THY1,Twist1,ZEB1,bcatenin,miR200,miR34,p38,p53
"[('MEK', 1)]",0.0,0.0,0.03409090909090909,,0.0,0.008552631578947369,0.0,0.0,0.0,0.0,0.0,0.1875,,0.0,0.0,0.0,0.25,0.0,0.0,-0.0234375,0.0,0.0,0.034722222222222224,0.0,,0.0,0.0,-0.006944444444444444,0.0,0.0,0.0,-0.00625
"[('GSK3b', 1)]",0.0625,0.015625,-0.048295454545454544,,0.0,-0.019078947368421053,-0.34375,0.0,0.0,0.0,0.0,0.0625,,-0.0625,0.0,0.0,0.0,0.125,0.0,-0.0234375,-0.020833333333333332,0.0,-0.013888888888888888,0.0,,0.0,0.0078125,-0.1388888888888889,0.0625,0.010416666666666666,0.0,0.025
"[('Ecadherin', 0)]",0.0,0.0,0.0,,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.0,0.0,0.0,,-0.125,0.046875,0.0,0.0,0.0,0.0,0.0
"[('TAK1', 0)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('MDM2', 1)]",-0.0625,0.0625,-0.014204545454545454,,0.03125,0.021710526315789475,0.0625,0.25,0.0,0.0,0.0,0.0625,,0.0,0.125,-0.125,0.0,-0.125,0.0,0.0390625,0.14583333333333334,0.0,0.0,0.125,,0.1875,-0.09375,0.006944444444444444,0.0625,0.0625,0.25,-0.04375
"[('IKK', 1)]",-0.08333333333333333,-0.03125,0.0,,0.0,0.023026315789473683,0.03125,0.0,0.0,0.0,0.0,0.0,,0.3125,0.3333333333333333,0.0,0.0,0.0,0.0,0.0078125,0.0,0.5,0.006944444444444444,0.0,,0.0,0.0,0.006944444444444444,0.0,-0.020833333333333332,0.0,0.0
"[('RAF', 1)]",0.0,0.0,0.09090909090909091,,0.0,0.009868421052631578,0.0,0.0,0.0,0.0,0.0,0.1875,,0.0,0.0,0.0,-0.25,-0.125,0.0,-0.0234375,0.0,0.0,0.09027777777777778,0.0,,0.0,0.0,-0.006944444444444444,0.0,0.0,0.0,-0.00625
"[('MEK', 0)]",-0.020833333333333332,-0.09375,0.11079545454545454,,0.03125,-0.035526315789473684,-0.21875,0.0,0.0,0.0,0.0,-0.1875,,-0.3125,-0.041666666666666664,-0.125,0.75,-0.125,-0.5,-0.1328125,-0.010416666666666666,0.0,-0.0763888888888889,0.0,,0.1875,0.0,-0.027777777777777776,0.1875,-0.0625,-0.25,-0.1
"[('Snail', 1)]",-0.020833333333333332,0.03125,0.017045454545454544,,0.0,0.034210526315789476,0.34375,0.0,0.0,0.0,0.0,0.0,,0.6875,0.0,0.0,0.0,0.0,0.0,0.0234375,-0.07291666666666667,0.0,0.09722222222222222,0.0,,-0.0625,-0.015625,0.020833333333333332,-0.0625,0.16666666666666666,0.25,0.0375
"[('miR200', 1)]",-0.020833333333333332,-0.09375,0.002840909090909091,,0.03125,-0.0375,-0.15625,0.0,0.0,0.0,0.0,0.0,,-0.3125,0.0,0.0,0.0,0.0,0.0,0.046875,-0.13541666666666666,0.0,-0.06944444444444445,-0.125,,0.1875,-0.28125,0.0,-0.0625,-0.14583333333333334,0.0,0.00625
