,Ecadherin,miR200,miR34,Snail,Twist1,ZEB1,EpCAM,THY1,MYC,cosineSim1,cosineSim2,Diff,Diff_pheno,weight,rEMTscore,chemo_rEMTscore,att_stability,F_major_att,major_att_size
"[('ERK', 1), ('TAK1', 0), ('bcatenin', 1)]",0.805753269947996,0.0,0.805753269947996,0.194246730052004,1.0,1.0,0.0,1.0,1.0,0.3488073946353633,0.4027680863761181,-0.194246730052004,0.0,0.402876634973998,0.1405263494047425,0.162265851314127,0.790788163592093,-25.0,0.6743446971686715
"[('MEK', 1), ('TAK1', 0), ('bcatenin', 1)]",0.7690483192471455,0.0,0.7690483192471455,0.2309516807528545,1.0,1.0,0.0,1.0,1.0,0.3360819032250709,0.3880739545935129,-0.2309516807528545,0.0,0.3845241596235727,0.1292316114023113,0.1492238112618671,0.8595317148327764,-23.0,0.6158050863711337
"[('MDM2', 1), ('SMAD23', 1), ('TAK1', 0)]",0.0,0.0,0.0,1.0,1.0,1.0,0.2,1.0,1.0,0.0445435403187374,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-27.8,1.0
"[('AP1', 1), ('MDM2', 1), ('TAK1', 0)]",0.1311778515734287,0.0,0.1061076037903392,0.8688221484265712,1.0,0.9847826880268584,1.0,1.0,0.9532684985828804,0.2599927654663813,0.0575747210718988,-0.8536048364534297,1.0,0.0731975817732851,0.0190308417106879,0.0042143303537343,1.124924767385239,-35.0,0.6685703511780948
"[('IKK', 1), ('MDM2', 1), ('TAK1', 0)]",0.9596923686057602,0.0,0.1330259818948606,0.0403076313942397,1.0,0.9284733012184074,1.0,1.0,0.9284733012184074,0.4396445622903233,0.2650748523605344,0.0312190673873528,0.0,0.5156095336936763,0.226684927753474,0.1366751210195352,1.1172054860677585,-23.0,0.6681624303360069
"[('ERK', 1), ('MDM2', 1), ('TAK1', 0)]",0.7183066247936346,0.0,0.7183066247936346,0.2816933752063654,1.0,1.0,0.0,1.0,1.0,0.3177203532541324,0.3668718629565927,-0.2816933752063654,0.0,0.3591533123968173,0.1141103172871085,0.1317632448060514,0.9130201902267332,-25.0,0.5192586983776268
"[('MDM2', 1), ('MEK', 1), ('TAK1', 0)]",0.7105512169413568,0.0,0.6468354733614412,0.2894487830586432,1.0,0.9537807828669989,0.1368579915676504,1.0,0.9537807828669989,0.3394192908386553,0.3560309537374375,-0.243229565925642,0.0,0.378385217037179,0.1284312420305899,0.1347168497018941,1.4219474990075676,-23.0,0.3928768206209275
"[('AP1', 1), ('SMAD23', 1), ('TAK1', 0)]",0.0,0.0,0.0,1.0,1.0,1.0,0.4,1.0,1.0,0.0880450906325624,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-29.8,1.0
"[('IKK', 1), ('SMAD23', 1), ('TAK1', 0)]",0.0,0.0,0.0,1.0,1.0,1.0,0.2,1.0,1.0,0.0445435403187374,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-27.8,1.0
"[('ERK', 1), ('SMAD23', 1), ('TAK1', 0)]",0.8062398039865241,0.0,0.8062398039865241,0.1937601960134759,1.0,1.0,0.0,1.0,1.0,0.3489728986898348,0.4029591939969202,-0.1937601960134759,0.0,0.403119901993262,0.1406779207181507,0.1624408707913223,0.7900743294146211,-23.0,0.6757527079986749
"[('MEK', 1), ('SMAD23', 1), ('TAK1', 0)]",0.7642526871308222,0.0,0.7642526871308222,0.2357473128691778,1.0,1.0,0.0,1.0,1.0,0.3343845098540429,0.3861139735541455,-0.2357473128691778,0.0,0.3821263435654111,0.1277771300954376,0.1475443209137574,0.8592311894560194,-21.0,0.5983405151544495
