,Ecadherin,EpCAM,MYC,Snail,THY1,Twist1,ZEB1,miR200,miR34,cosineSim1,cosineSim2,Diff,Diff_pheno,weight,rEMTscore,chemo_rEMTscore,F_major_att,att_stability,major_att_size
"[('IKK', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('MDM2', 0)]",0.0,0.0,0.0,1.0,1.0,1.0,0.4277346151696384,0.5722653848303616,0.5722653848303616,0.10916809968242912,0.0,-0.4277346151696384,0.0,0.2861326924151808,0.031236562287982286,0.0,-50.0,1.0408491276353147,0.4665362472751663
"[('MDM2', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('MEK', 0)]",0.0,1.0,0.6397488930319273,1.0,1.0,1.0,1.0,0.0,0.0,0.5674961818758582,0.40704932808971844,-1.0,1.0,0.0,0.0,0.0,-63.0,1.01247403530336,0.4301328361687252
"[('MEK', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('MYC', 0)]",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.25,0.0,-1.0,1.0,0.0,0.0,0.0,-71.0,0.0,1.0
"[('MYC', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('NFKB', 0)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-69.0,0.0,1.0
"[('NFKB', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('NOTCH', 0)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-63.0,0.0,1.0
"[('NOTCH', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('PI3K', 0)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-67.0,0.0,1.0
"[('PI3K', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('RAF', 0)]",0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.545544725589981,0.37796447300922725,-1.0,1.0,0.0,0.0,0.0,-64.0,0.0,1.0
"[('RAF', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('RAS', 0)]",0.0,0.25,0.75,1.0,1.0,1.0,1.0,0.0,0.0,0.46499055497527714,0.2684624220856098,-1.0,1.0,0.0,0.0,0.0,-38.0,0.0,1.0
"[('RAS', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('SMAD23', 0)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-69.0,0.0,1.0
"[('SMAD23', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('SMAD4', 0)]",0.6949498500320347,1.0,0.6525250749839826,0.30505014996796526,0.6525250749839826,1.0,0.6525250749839826,0.34747492501601734,0.6949498500320347,0.7105038535826071,0.641971152779861,0.04242477504805209,0.0,0.521212387524026,0.37032340987081164,0.33460331726194265,-27.0,1.209461313412498,0.5241961546966338
"[('SMAD4', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('Snail', 0)]",1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.6123724356957946,0.4714045207910318,0.0,0.0,0.5,0.3061862178478973,0.2357022603955159,-43.0,0.0,1.0
"[('Snail', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('TAK1', 0)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-65.0,0.0,1.0
"[('TAK1', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('TGFBR', 0)]",0.009990750337111208,0.20299722510113338,0.9900092496628888,0.9900092496628888,0.9900092496628888,0.9950046248314445,0.9900092496628888,0.004995375168555604,0.009990750337111208,0.49274500995886095,0.31211620292000825,-0.9800184993257777,1.0,0.009990750337111165,0.004922892374356334,0.0031182750595409293,-35.8,0.05595902672295713,0.9900092496628888
"[('TGFBR', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('TGFb', 0)]",1.0,0.7113581945782304,0.8454327783129214,0.0,0.7045273152607678,0.8522636576303839,0.7045273152607678,0.28864180542176965,0.5772836108435393,0.7812641618447296,0.707244061629377,0.29547268473923216,0.0,0.6477363423696161,0.5060531906177689,0.45810768164244403,-21.571428571428573,0.07222005205669739,0.986338241365075
