,AKT,AP1,ERK,Ecadherin,EpCAM,Fvalue,GLI,GRB2SOS,GSK3b,IKK,MDM2,MEK,MYC,NFKB,NOTCH,PI3K,RAF,RAS,SMAD23,SMAD4,Snail,TAK1,TGFBR,TGFb,THY1,Twist1,ZEB1,bcatenin,miR200,miR34,p38,p53
"[('MYC', 0), ('TGFb', 0)]",0.125,0.3125,0.3375,0.125,-0.052083333333333336,0.12631578947368421,0.3333333333333333,0.0,0.375,0.3125,0.25,-0.25,0.03125,0.0,0.10416666666666667,0.0,0.0,1.0,0.0,0.3333333333333333,0.25892857142857145,0.0,0.0,0.0,0.09375,0.041666666666666664,-0.03125,0.3333333333333333,0.0,-0.0625,0.5,-1.0
"[('GRB2SOS', 0), ('GSK3b', 0)]",-0.25,0.0,0.2,-0.16666666666666666,0.08333333333333333,-0.05789473684210526,0.0,1.0,0.0,0.0,0.5,0.0,-0.08333333333333333,0.0,-0.16666666666666666,0.0,0.0,1.0,0.0,0.0,-0.07142857142857142,0.0,0.0,0.0,-0.25,-0.3333333333333333,-0.375,0.0,-0.375,-0.2,0.0,-1.0
"[('ERK', 1), ('NOTCH', 1)]",-0.25,0.0,0.2,-0.16666666666666666,0.08333333333333333,-0.08947368421052632,0.0,0.0,0.0,0.0,0.5,0.0,-0.08333333333333333,0.0,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,-0.07142857142857142,0.0,0.0,0.0,-0.25,-0.3333333333333333,-0.375,0.0,-0.375,-0.2,0.0,-1.0
"[('Snail', 0), ('TGFBR', 1)]",-0.25,0.0,0.2,0.5,0.08333333333333333,0.07894736842105263,0.0,0.0,0.0,0.0,0.5,0.0,0.08333333333333333,0.0,0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,-0.125,0.0,-0.125,0.2,0.0,-1.0
"[('GLI', 1), ('TAK1', 1)]",-0.25,0.0,0.2,-0.16666666666666666,0.08333333333333333,-0.08947368421052632,0.0,0.0,0.0,0.0,0.5,0.0,-0.08333333333333333,0.0,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,-0.07142857142857142,0.0,0.0,0.0,-0.25,-0.3333333333333333,-0.375,0.0,-0.375,-0.2,0.0,-1.0
"[('Twist1', 0), ('miR200', 1)]",-0.25,0.25,0.2,0.16666666666666666,-0.08333333333333333,0.015789473684210527,0.0,0.0,0.0,0.0,0.5,0.0,-0.25,0.0,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,-0.07142857142857142,0.0,0.0,0.0,-0.25,0.6666666666666666,0.375,0.0,0.375,0.0,0.0,-1.0
"[('TAK1', 0), ('p53', 1)]",0.0,0.25,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
"[('IKK', 1), ('miR34', 0)]",-0.25,0.0,0.2,-0.16666666666666666,0.08333333333333333,-0.08947368421052632,0.0,0.0,0.0,0.0,0.5,0.0,-0.08333333333333333,0.0,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,-0.07142857142857142,0.0,0.0,0.0,-0.25,-0.3333333333333333,-0.375,0.0,-0.375,-0.2,0.0,-1.0
"[('bcatenin', 0), ('miR34', 1)]",0.0,0.0,0.4,-0.16666666666666666,-0.08333333333333333,0.1,0.3333333333333333,0.0,0.25,0.0,0.5,0.0,0.25,0.5,0.16666666666666666,-0.3333333333333333,0.0,0.0,0.5,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.125,1.0,-0.375,0.4,0.0,-1.0
"[('AP1', 1), ('GSK3b', 0)]",-0.25,0.0,0.2,-0.16666666666666666,0.08333333333333333,-0.08947368421052632,0.0,0.0,0.0,0.0,0.5,0.0,-0.08333333333333333,0.0,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,-0.07142857142857142,0.0,0.0,0.0,-0.25,-0.3333333333333333,-0.375,0.0,-0.375,-0.2,0.0,-1.0
"[('RAF', 0), ('ZEB1', 1)]",-0.25,0.125,0.4,-0.16666666666666666,0.0,-0.007894736842105263,0.16666666666666666,0.0,0.25,0.0,0.5,-0.25,-0.041666666666666664,0.0,0.0,-0.3333333333333333,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,-0.125,-0.16666666666666666,-0.125,0.3333333333333333,-0.375,-0.3,0.0,-1.0
"[('RAS', 0), ('p38', 0)]",0.0,0.375,0.4,-0.16666666666666666,-0.041666666666666664,0.05789473684210526,0.25,0.0,0.25,0.0,0.5,-0.25,-0.041666666666666664,0.0,0.08333333333333333,0.3333333333333333,0.16666666666666666,1.0,0.0,0.16666666666666666,0.10714285714285714,0.0,0.0,0.0,-0.0625,-0.16666666666666666,-0.0625,0.25,-0.375,-0.3,0.5,-1.0
"[('ERK', 1), ('MYC', 0)]",-0.25,0.0,0.2,-0.16666666666666666,0.08333333333333333,-0.06842105263157895,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,-0.07142857142857142,0.0,0.0,0.0,-0.25,-0.3333333333333333,-0.375,0.0,-0.375,-0.2,0.0,-1.0
"[('MEK', 0), ('NFKB', 1)]",-0.25,0.25,0.5,-0.16666666666666666,0.0,0.010526315789473684,0.16666666666666666,0.0,0.375,0.0,0.5,0.5,0.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,-0.125,0.0,0.0,0.3333333333333333,-0.375,-0.4,0.0,-1.0
"[('GSK3b', 0), ('p38', 0)]",-0.25,0.25,0.2,-0.16666666666666666,0.08333333333333333,-0.05789473684210526,0.0,0.0,0.0,0.0,0.5,0.0,-0.08333333333333333,0.0,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.0,0.0,-0.07142857142857142,0.0,0.0,0.0,-0.25,-0.3333333333333333,-0.375,0.0,-0.375,-0.2,1.0,-1.0
"[('RAF', 0), ('Snail', 1)]",-0.25,0.125,0.4,-0.16666666666666666,0.0,-0.007894736842105263,0.16666666666666666,0.0,0.25,0.0,0.5,-0.25,-0.041666666666666664,0.0,0.0,-0.3333333333333333,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,-0.125,-0.16666666666666666,-0.125,0.3333333333333333,-0.375,-0.3,0.0,-1.0
