,Ecadherin,miR200,miR34,Snail,Twist1,ZEB1,EpCAM,THY1,MYC,cosineSim1,cosineSim2,Diff,Diff_pheno,weight,rEMTscore,chemo_rEMTscore,att_stability,F_major_att,major_att_size
"[('TAK1', 1), ('bcatenin', 0), ('p38', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-55.0,1.0
"[('MDM2', 0), ('TAK1', 1), ('p38', 1)]",0.0,0.5649688747741839,0.5649688747741839,1.0,1.0,0.4350311252258161,0.0,1.0,0.0,0.2887749044341566,0.3334485376205376,-0.4350311252258161,0.0,0.2824844373870919,0.0815744164105939,0.0941940225472861,1.039026957275479,-50.0,0.4758362387379612
"[('SMAD23', 0), ('TAK1', 1), ('p38', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-69.0,1.0
"[('AP1', 0), ('TAK1', 1), ('p38', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-67.0,1.0
"[('IKK', 0), ('TAK1', 1), ('p38', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-69.0,1.0
"[('ERK', 0), ('TAK1', 1), ('p38', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5362771831543279,0.2174407743157136,0.0,-1.0,1.0,0.0,0.0,0.0,1.0376350107613406,-52.0,0.4953965633444013
"[('MEK', 0), ('TAK1', 1), ('p38', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6401379923791665,0.21497122776295,0.0,-1.0,1.0,0.0,0.0,0.0,1.0130364952242643,-63.0,0.4315026504633803
"[('NFKB', 0), ('RAF', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-69.0,1.0
"[('GRB2SOS', 0), ('RAF', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-69.0,1.0
"[('RAF', 1), ('TAK1', 1), ('p53', 0)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-75.0,1.0
"[('GSK3b', 0), ('RAF', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-75.0,1.0
"[('RAF', 1), ('TAK1', 1), ('bcatenin', 0)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-55.0,1.0
"[('MDM2', 0), ('RAF', 1), ('TAK1', 1)]",0.0,0.5713913717853645,0.5713913717853645,1.0,1.0,0.4286086282146354,0.0,1.0,0.0,0.2917130116536183,0.336841171608666,-0.4286086282146354,0.0,0.2856956858926822,0.0833411489482005,0.0962340695596325,1.0427609434501512,-50.0,0.4641189224072051
"[('RAF', 1), ('SMAD23', 0), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-69.0,1.0
"[('AP1', 0), ('RAF', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-67.0,1.0
"[('IKK', 0), ('RAF', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-69.0,1.0
"[('ERK', 0), ('RAF', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5379544727421993,0.217403736277492,0.0,-1.0,1.0,0.0,0.0,0.0,1.0371664877003943,-52.0,0.4953549158210541
"[('MEK', 0), ('RAF', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6400981371569607,0.2149722415561933,0.0,-1.0,1.0,0.0,0.0,0.0,1.012649682950353,-63.0,0.4310277957336781
"[('GRB2SOS', 0), ('NFKB', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-69.0,1.0
"[('NFKB', 1), ('TAK1', 1), ('p53', 0)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-75.0,1.0
"[('GSK3b', 0), ('NFKB', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-75.0,1.0
"[('NFKB', 1), ('TAK1', 1), ('bcatenin', 0)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-55.0,1.0
"[('MDM2', 0), ('NFKB', 1), ('TAK1', 1)]",0.0,0.5705409615520782,0.5705409615520782,1.0,1.0,0.4294590384479218,0.0,1.0,0.0,0.2913248884253894,0.3363930055080726,-0.4294590384479218,0.0,0.2852704807760391,0.0831063909831368,0.0959629944109846,1.0409080642822883,-50.0,0.4680190705468621
"[('NFKB', 1), ('SMAD23', 0), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-69.0,1.0
"[('AP1', 0), ('NFKB', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-67.0,1.0
"[('IKK', 0), ('NFKB', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-69.0,1.0
"[('ERK', 0), ('NFKB', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.538477136773801,0.2173921750108171,0.0,-1.0,1.0,0.0,0.0,0.0,1.0367847837576902,-52.0,0.4956782926087397
"[('MEK', 0), ('NFKB', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6415587380527806,0.214935056555861,0.0,-1.0,1.0,0.0,0.0,0.0,1.0114610098081072,-63.0,0.4328456749369088
"[('GRB2SOS', 1), ('TAK1', 1), ('p53', 0)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-75.0,1.0
"[('GRB2SOS', 1), ('GSK3b', 0), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-75.0,1.0
"[('GRB2SOS', 1), ('TAK1', 1), ('bcatenin', 0)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-55.0,1.0
"[('GRB2SOS', 1), ('MDM2', 0), ('TAK1', 1)]",0.0,0.5704043525669636,0.5704043525669636,1.0,1.0,0.4295956474330363,0.0,1.0,0.0,0.2912625146085366,0.3363209824281719,-0.4295956474330363,0.0,0.2852021762834818,0.083068703036154,0.0959194761183132,1.042239970098329,-50.0,0.4659122367922982
"[('GRB2SOS', 1), ('SMAD23', 0), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-69.0,1.0
"[('AP1', 0), ('GRB2SOS', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-67.0,1.0
"[('GRB2SOS', 1), ('IKK', 0), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-69.0,1.0
