,AKT,AP1,ERK,Ecadherin,EpCAM,Fvalue,GLI,GRB2SOS,GSK3b,IKK,MDM2,MEK,MYC,NFKB,NOTCH,PI3K,RAF,RAS,SMAD23,SMAD4,Snail,TAK1,TGFBR,TGFb,THY1,Twist1,ZEB1,bcatenin,miR200,miR34,p38,p53
"[('MEK', 1)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('GSK3b', 1)]",0.3333333333333333,0.0,0.18181818181818182,,0.0,0.11578947368421053,0.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
"[('Ecadherin', 0)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('TAK1', 0)]",0.3333333333333333,0.0,0.0,,0.0,0.05263157894736842,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"[('MDM2', 1)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('IKK', 1)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('RAF', 1)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('MEK', 0)]",0.16666666666666666,-0.5,0.3181818181818182,,-0.5,0.1,0.25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.125,0.0,0.1875,0.0,0.0,0.1111111111111111,0.0,,0.0,0.25,0.2777777777777778,0.0,0.16666666666666666,0.0,-0.15
"[('Snail', 1)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('miR200', 1)]",0.0,-0.5,0.18181818181818182,,-1.0,0.06315789473684211,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3333333333333333,0.0,0.0,0.25,,0.0,0.5,0.0,0.0,0.0,0.0,0.0
"[('Snail', 0)]",0.0,0.5,-0.09090909090909091,,0.0,0.16842105263157894,0.5,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0.6666666666666666,0.0,0.2222222222222222,0.0,,0.5,0.5,0.1111111111111111,0.0,0.6666666666666666,0.0,0.1
"[('ZEB1', 0)]",0.0,-0.5,0.18181818181818182,,-1.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.16666666666666666,0.0,0.0,0.0,,0.0,0.75,0.0,1.0,0.0,0.0,-0.1
"[('EpCAM', 0)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('TGFb', 0)]",0.4791666666666667,-0.15625,0.036931818181818184,,-0.53125,0.21052631578947367,0.46875,0.75,0.0,0.0,0.0,0.1875,,0.3125,0.20833333333333334,0.125,0.25,0.625,0.5,0.2421875,0.3229166666666667,0.0,0.2152777777777778,0.125,,0.3125,0.375,0.3055555555555556,0.0625,0.2708333333333333,0.25,-0.025
